Trait,Sex,Trait guild,Trait description,Reference,Life_stage
T1.femur.f,Female,Morphological,"Mean femur length, for legs originating on the first thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One,Adult
T1.femur.m,Male,Morphological,"Mean femur length, for legs originating on the first thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One,Adult
T2.femur.f,Female,Morphological,"Mean femur length, for legs originating on the second thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One,Adult
T2.femur.m,Male,Morphological,"Mean femur length, for legs originating on the second thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One,Adult
T1.tibia.f,Female,Morphological,"Mean tibia length, for legs originating on the first thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One,Adult
T1.tibia.m,Male,Morphological,"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One,Adult
T2.tibia.f,Female,Morphological,"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One,Adult
T2.tibia.m,Male,Morphological,"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One,Adult
T1.tarsus.f,Female,Morphological,"Mean tarsus length, for legs originating on the first thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One,Adult
T1.tarsus.m,Male,Morphological,"Mean tarsus length, for legs originating on the first thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One,Adult
T2.tarsus.f,Female,Morphological,"Mean tarsus length, for legs originating on the second thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One,Adult
T2.tarsus.m,Male,Morphological,"Mean tarsus length, for legs originating on the second thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One,Adult
weight.anexic.m,Male,Microbiome,Mean combined dry weight of 5 adult flies that lacked a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate heavier flies.,Dobson et al (2015) Nature Communications,Adult
weight.gnotobiotic.m,Male,Microbiome,"Mean combined dry weight of 5 adult flies that possessed a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate heavier flies.",Dobson et al (2015) Nature Communications,Adult
weight.microbiome.effect.m,Male,Microbiome,"Mean change in the combined dry weight of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota had a greater positive effect on weight. Note that the presence of micriobiota on average increased dry weight.",Dobson et al (2015) Nature Communications,Adult
glucose.anexic.m,Male,Microbiome,"Mean combined glucose content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glucose content.",Dobson et al (2015) Nature Communications,Adult
glucose.gnotobiotic.m,Male,Microbiome,"Mean combined glucose content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glucose content.",Dobson et al (2015) Nature Communications,Adult
glucose.microbiome.effect.m,Male,Microbiome,"Mean change in the combined glucose content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glucose content. Note though that the presence of micriobiota on average decreased glucose content.",Dobson et al (2015) Nature Communications,Adult
glycogen.anexic.m,Male,Microbiome,"Mean combined glycogen content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher glycogen content.",Dobson et al (2015) Nature Communications,Adult
glycogen.gnotobiotic.m,Male,Microbiome,"Mean combined glycogen content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher glycogen content.",Dobson et al (2015) Nature Communications,Adult
glycogen.microbiome.effect.m,Male,Microbiome,"Mean change in the combined glycogen content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher glycogen content. Note that the presence of micriobiota on average increased glycogen content.",Dobson et al (2015) Nature Communications,Adult
protein.anexic.m,Male,Microbiome,"Mean combined protein content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher protein content.",Dobson et al (2015) Nature Communications,Adult
protein.gnotobiotic.m,Male,Microbiome,"Mean combined protein content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher protein content.",Dobson et al (2015) Nature Communications,Adult
protein.microbiome.effect.m,Male,Microbiome,"Mean change in the combined protein content of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher protein content. Note that the presence of micriobiota on average increased protein content.",Dobson et al (2015) Nature Communications,Adult
triglyceride.anexic.m,Male,Microbiome,"Mean combined triglyceride (TAG) content after glycerol substraction extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher TAG content.",Dobson et al (2015) Nature Communications,Adult
triglyceride.gnotobiotic.m,Male,Microbiome,"Mean combined triglyceride (TAG) content after glycerol substraction extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher TAG content.",Dobson et al (2015) Nature Communications,Adult
TAG.glycerol.microbiome.effect.m,Male,Microbiome,"Mean change in combined triglyceride content after glycerol substraction of 5 adult flies that possessed a microbiome compared with flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared either on sterile medium or on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate that the addition of microbiota resulted in a higher TAG content. Note though that the presence of micriobiota on average decreased TAG content.",Dobson et al (2015) Nature Communications,Adult
orient.towards.female.m,Male,Behavioural,"Mean number of times a DGRP male orientated towards a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of orientations, and potentially more persistent courtship.",Gaertner et al (2015) G3,Adult
approach.female.m,Male,Behavioural,"Mean number of times a DGRP male approached a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of approaches, and potentially more persistent courtship.",Gaertner et al (2015) G3,Adult
wing.display.frequency.m,Male,Behavioural,"Mean number of times a DGRP male extended their wing at a 90 degree angle in rapid vibration while in the presence of a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of wing displays, and potentially more persistent courtship.",Gaertner et al (2015) G3,Adult
genital.licking.frequency.m,Male,Behavioural,"Mean number of genital licks by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of genital licking, and potentially more persistent courtship.",Gaertner et al (2015) G3,Adult
attempted.copulation.frequency.m,Male,Behavioural,"Mean number of attempted copulations by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of copulation attempts, and potentially more persistent courtship.",Gaertner et al (2015) G3,Adult
mating.latency.2015.m,Male,Behavioural,"Mean latency until a DGRP male was observed copulating with a virgin female, detected by scan sampling 30 times over a 15 minute period. Lower values indicate males that began mating faster, which could be interpreted as males that are more attractive to females.",Gaertner et al (2015) G3,Adult
caffeine.resistance.f,Female,Drug response,"Mean time, in hours, adult females survived during continuous exposure to medium supplemented with 1% caffeine. Higher values indicate greater resistance to caffeine",Najarro et al (2015) PLOS Genetics,Adult
punishment.memory.learning.f,Female,Behavioural,"Mean aversion towards an odour flies were trained to associate with the onset of an electric shock. Higher values indicate that flies showed a greater aversion toward the odour, suggesting that they associated the odor with 'punishment'. Higher values also indicate a higher learning score",Appel et al (2016) Biology Letters,Adult
punishment.memory.learning.m,Male,Behavioural,"Mean aversion towards an odour flies were trained to associate with the onset of an electric shock. Higher values indicate that flies showed a greater aversion toward the odour, suggesting that they associated the odor with 'punishment'. Higher values also indicate a greater learning score.",Appel et al (2016) Biology Letters,Adult
relief.memory.learning.f,Female,Behavioural,"Mean preference for an odor flies were trained to associate with the end of an electric shock. Higher values indicate that flies showed a stronger preference towards the odor, suggesting that they associated the odor with 'relief'. Higher values also indicate a greater learning score.",Appel et al (2016) Biology Letters,Adult
relief.memory.learning.m,Male,Behavioural,"Mean preference for an odor flies were trained to associate with the end of an electric shock. Higher values indicate that flies showed a stronger preference towards the odor, suggesting that they associated the odor with 'relief'. Higher values also indicate a greater learning score.",Appel et al (2016) Biology Letters,Adult
wing.size.f,Female,Morphological,Mean centroid size - the square root of the sum of squared distances of a set of wing landmarks to the centroid of this landmark configuration. Higher values indicate larger wings.,Muñoz-Muñoz et al (2016) Evolution,Adult
wing.size.m,Male,Morphological,Mean centroid size - the square root of the sum of squared distances of a set of wing landmarks to the centroid of this landmark configuration. Higher values indicate larger wings.,Muñoz-Muñoz et al (2016) Evolution,Adult
cold.hardiness.f,Female,Temperature related,Mean proportion of surviving adults 24 hours post exposure to an hour of cold shock (-5°C). Higher values indicate flies that are more resistant to cold shock.,Freda et al (2017) Integrative and Comparative Biology,Adult
cold.hardiness.m,Male,Temperature related,Mean proportion of surviving adults 24 hours post exposure to an hour of cold shock (-5°C). Higher values indicate flies that are more resistant to cold shock.,Freda et al (2017) Integrative and Comparative Biology,Adult
boric.acid.resistance.f,Female,Insecticide response,"Mean lifespan, measured in hours, for mated females exposed to media supplemented with 1.5% boric acid (BH3O3, BP168). Boric acid is a common household pesticide. Higher values indicate a greater resistance to boric acid.","Najarro, Hackett and Macdonald (2017) G3",Adult
copulation.latency.m,Male,Behavioural,Mean time (mins) from a male flies introduction to a female until the onset of mating. Lower values indicate shorter copulation latencies and potentially more attractive males,Dean et al (2020) Evolution,Adult
insemination.capacity.m,Male,Life history,Mean proportion of 10 females that a single male successfully inseminated in 48 hours. Insemination was verified by identification of viable pupal progeny. Higher values indicate males with a greater insemination capacity.,Dean et al (2020) Evolution,Adult
deltamethrin.resistance.m,Male,Insecticide response,"Mean survival 48 hours after exposure to deltamethrin, a pyrethroid pesticide. Higher values indicate greater resistance to deltamethrin.",Duneau et al (2018) G3,Adult
parathion.resistance.m,Male,Insecticide response,"Mean survival 48 hours after exposure to parathion, an organophosphate pesticide. Higher values indicate greater resistance to parathion.",Duneau et al (2018) G3,Adult
kallithea.resistance.LT50.f,Female,Pathogen response,Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,Palmer et al (2018) PLOS Pathogens,Adult
kallithea.resistance.LT50.m,Male,Pathogen response,Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,Palmer et al (2018) PLOS Pathogens,Adult
kallithea.viral.load.f,Female,Pathogen response,"Mean viral titre of kallithea virus found in groups of 10 adult females, 8 days after injection of 50 nL of 105 ID50 KV.  This is a measure of viral load, with higher values indicating greater viral load.",Palmer et al (2018) PLOS Pathogens,Adult
cold.tolerance.-1.f,Female,Temperature related,Mean proportion of surviving adults 24 hours after an hour of exposure to -1 °C. Higher values indicate flies that are more tolerant to cold exposure.,Teets and Hahn (2018) Journal of Evolutionary Biology,Adult
cold.tolerance.-2.f,Female,Temperature related,Mean proportion of surviving adults 24 hours after an hour of exposure to -2 °C. Higher values indicate flies that are more tolerant to cold exposure.,Teets and Hahn (2018) Journal of Evolutionary Biology,Adult
cold.tolerance.-3.f,Female,Temperature related,Mean proportion of surviving adults 24 hours after an hour of exposure to -3 °C. Higher values indicate flies that are more tolerant to cold exposure.,Teets and Hahn (2018) Journal of Evolutionary Biology,Adult
cold.tolerance.-4.f,Female,Temperature related,Mean proportion of surviving adults 24 hours after an hour of exposure to -4 °C. Higher values indicate flies that are more tolerant to cold exposure.,Teets and Hahn (2018) Journal of Evolutionary Biology,Adult
cold.tolerance.-5.f,Female,Temperature related,Mean proportion of surviving adults 24 hours after an hour of exposure to -5 °C. Higher values indicate flies that are more tolerant to cold exposure.,Teets and Hahn (2018) Journal of Evolutionary Biology,Adult
cold.tolerance.-6.f,Female,Temperature related,Mean proportion of surviving adults 24 hours after an hour of exposure to -6 °C. Higher values indicate flies that are more tolerant to cold exposure.,Teets and Hahn (2018) Journal of Evolutionary Biology,Adult
cold.tolerance.-7.f,Female,Temperature related,Mean proportion of surviving adults 24 hours after an hour of exposure to -7 °C. Higher values indicate flies that are more tolerant to cold exposure.,Teets and Hahn (2018) Journal of Evolutionary Biology,Adult
starvation.resistance.2019.f,Female,Stress response,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. Higher values indicate flies that exhibited greater starvation resistance.",Everman et al (2019) Genetics,Adult
starvation.resistance.2019.m,Male,Stress response,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. Higher values indicate flies that exhibited greater starvation resistance.",Everman et al (2019) Genetics,Adult
cold.hardiness.18C.larvae,Both,Temperature related,Mean proportion of third instar larvae that survived exposure to -6.5°C for an hour. These larvae were otherwise reared at 18°C. Higher values indicate greater cold hardiness.,Freda et al (2019) Heredity,Juvenile
cold.hardiness.18C.f,Female,Temperature related,Mean proportion of adult flies that survived exposure to -6.5°C for an hour. These flies were originally reared at 18°C. Higher values indicate greater cold hardiness.,Freda et al (2019) Heredity,Adult
cold.hardiness.18C.m,Male,Temperature related,Mean proportion of adult flies that survived exposure to -6.5°C for an hour. These flies were originally reared at 18°C. Higher values indicate greater cold hardiness.,Freda et al (2019) Heredity,Adult
cold.hardiness.25C.larvae,Both,Temperature related,Mean proportion of third instar larvae that survived exposure to -6.5°C for an hour. These larvae were otherwise reared at 25°C. Higher values indicate greater cold hardiness.,Freda et al (2019) Heredity,Juvenile
cold.hardiness.25C.f,Female,Temperature related,Mean proportion of adult flies that survived exposure to -6.5°C for an hour. These flies were originally reared at 25°C. Higher values indicate greater cold hardiness.,Freda et al (2019) Heredity,Adult
cold.hardiness.25C.m,Male,Temperature related,Mean proportion of adult flies that survived exposure to -6.5°C for an hour. These flies were originally reared at 25°C. Higher values indicate greater cold hardiness.,Freda et al (2019) Heredity,Adult
heat.hardiness.18C.larvae,Both,Temperature related,Mean proportion of third instar larvae that survived exposure to 38°C for an hour. These larvae were otherwise reared at 18°C. Higher values indicate greater heat hardiness.,Freda et al (2019) Heredity,Juvenile
heat.hardiness.18C.f,Female,Temperature related,Mean proportion of adult flies that survived exposure to 38°C for an hour. These flies were originally reared at 18°C. Higher values indicate greater heat hardiness.,Freda et al (2019) Heredity,Adult
heat.hardiness.18C.m,Male,Temperature related,Mean proportion of adult flies that survived exposure to 38°C for an hour. These flies were originally reared at 18°C. Higher values indicate greater heat hardiness.,Freda et al (2019) Heredity,Adult
heat.hardiness.25C.larvae,Both,Temperature related,Mean proportion of third instar larvae that survived exposure to 38°C for an hour. These larvae were otherwise reared at 25°C. Higher values indicate greater heat hardiness.,Freda et al (2019) Heredity,Juvenile
heat.hardiness.25C.f,Female,Temperature related,Mean proportion of adult flies that survived exposure to 38°C for an hour. These flies were originally reared at 25°C. Higher values indicate greater heat hardiness.,Freda et al (2019) Heredity,Adult
heat.hardiness.25C.m,Male,Temperature related,Mean proportion of adult flies that survived exposure to 38°C for an hour. These flies were originally reared at 25°C. Higher values indicate greater heat hardiness.,Freda et al (2019) Heredity,Adult
wing.centroid.size.2019_Houle.f,Female,Morphological,Mean left wing centroid size for flies measured in the Houle lab. Images were taken of live flies using the 'Wingmachine' system. Higher values indicate larger wings.,Pitchers et al (2019) Evolution,Adult
wing.centroid.size.2019_Houle.m,Male,Morphological,Mean left wing centroid size for flies measured in the Houle lab. Images were taken of live flies using the 'Wingmachine' system. Higher values indicate larger wings.,Pitchers et al (2019) Evolution,Adult
wing.centroid.size.2019_Dworkin.f,Female,Morphological,Mean left wing centroid size for flies measured in the Dworkin lab. Images were taken of dissected wings using an Olympus microscope. Higher values indicate larger wings.,Pitchers et al (2019) Evolution,Adult
wing.centroid.size.2019_Dworkin.m,Male,Morphological,Mean wing centroid size for flies measured in the Dworkin lab. Images were taken of dissected wings using an Olympus microscope. Higher values indicate larger wings.,Pitchers et al (2019) Evolution,Adult
activity.m,Male,Activity,"Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet. Higher values indicate more active flies.",Rohde et al (2019) Genetics,Adult
activity.MPH.m,Male,Activity,"Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet, supplemented with MPH (1.5 mg ml^-1). MPH, methylphenidate, is a drug used to treat attention-deficit/hyperactivity disorder (ADHD) in humans. Higher values indicate more active flies.",Rohde et al (2019) Genetics,Adult
MPH.effect.on.activity.m,Male,Drug response,Mean difference in distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height) between flies fed a control 5% sucrose solution and a 5% sucrose solution supplemented with 1.5 mg ml^-1 methylphenidate (MPH). MPH is a drug used to treat the symptoms of attention-deficit/hyperactivity disorder (ADHD) in humans. Positive values indicate greater activity when flies were supplemented with MPH.,Rohde et al (2019) Genetics,Adult
Acetobacter.aceti.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.aceti.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.cibinongensis.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.cibinongensis.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.ghanensis.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.ghanensis.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.indonesiensis.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.indonesiensis.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.malorum.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.malorum.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.nitrogenifigens.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.nitrogenifigens.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.okinawensis.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.okinawensis.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.orientalis.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.orientalis.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.papayae.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.papayae.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.pasteurianus.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.pasteurianus.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.persici.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.persici.m,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
Acetobacter.pomorum.f,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,Adult
