Trait,# lines measured,Sex,Life_stage,Trait guild,Trait description,Reference
climbing.exercise.effect.f,34,Female,Adult,Activity,"Mean change in the climbing ability of adults, between flies that were and were not exposed to exercise five days previously. Positive values indicate an increase in climbing ability with exercise.",Watanabe and Riddle (2021) Royal Society Open Science
climbing.exercise.effect.m,33,Male,Adult,Activity,"Mean change in the climbing ability of adults, between flies that were and were not exposed to exercise five days previously. Positive values indicate an increase in climbing ability with exercise.",Watanabe and Riddle (2021) Royal Society Open Science
climbing.f,35,Female,Adult,Activity,"Mean climbing index, following five days of standard conditions. Higher values indicate greater climbing ability.",Watanabe and Riddle (2021) Royal Society Open Science
climbing.m,33,Male,Adult,Activity,"Mean climbing index, following five days of standard conditions. Higher values indicate greater climbing ability.",Watanabe and Riddle (2021) Royal Society Open Science
climbing.post.exercise.f,34,Female,Adult,Activity,"Mean climbing index, following five days consecutive days of forced exercise (two hours a day). Higher values indicate greater climbing ability.",Watanabe and Riddle (2021) Royal Society Open Science
climbing.post.exercise.m,34,Male,Adult,Activity,"Mean climbing index, following five days consecutive days of forced exercise (two hours a day). Higher values indicate greater climbing ability.",Watanabe and Riddle (2021) Royal Society Open Science
day.sleep.SD.f,167,Female,Adult,Activity,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
day.sleep.SD.m,167,Male,Adult,Activity,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
day.sleep.bout.length.SD.f,167,Female,Adult,Activity,"The standard deviation for the length of a sleep bout during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
day.sleep.bout.length.SD.m,167,Male,Adult,Activity,"The standard deviation for the length of a sleep bout during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
day.sleep.bout.length.f,168,Female,Adult,Activity,The mean length of a sleep bout during the 12-hour light period of the light cycle. Higher values indicate longer bouts.,"Harbison, McCoy and Mackay (2013) BMC Genomics"
day.sleep.bout.length.m,168,Male,Adult,Activity,The mean length of a sleep bout during the 12-hour light period of the light cycle. Higher values indicate longer bouts.,"Harbison, McCoy and Mackay (2013) BMC Genomics"
day.sleep.bouts.SD.f,167,Female,Adult,Activity,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
day.sleep.bouts.SD.m,167,Male,Adult,Activity,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
day.sleep.bouts.f,168,Female,Adult,Activity,"Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Higher values indicate a higher frequency of sleep bouts.","Harbison, McCoy and Mackay (2013) BMC Genomics"
day.sleep.bouts.m,168,Male,Adult,Activity,"Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Higher values indicate a higher frequency of sleep bouts.","Harbison, McCoy and Mackay (2013) BMC Genomics"
day.sleep.f,168,Female,Adult,Activity,The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Higher values indicate a higher line average for sleep duration.,"Harbison, McCoy and Mackay (2013) BMC Genomics"
day.sleep.m,168,Male,Adult,Activity,The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Higher values indicate a higher line average for sleep duration.,"Harbison, McCoy and Mackay (2013) BMC Genomics"
exercise.induced.activity.f,149,Female,Adult,Activity,"Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.",Watanabe et al (2020) G3
exercise.induced.activity.m,148,Male,Adult,Activity,"Exercise induced activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Activity was induced by vertically rotating vials at four rpm. Higher values indicate higher exercise induced activity levels.",Watanabe et al (2020) G3
flight.performance.f,197,Female,Adult,Activity,"Mean height (m) at which flies catch themselves from freefall after vial inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",Spierer et al (2021) PLOS Genetics
flight.performance.m,197,Male,Adult,Activity,"Mean height (m) at which flies catch themselves from freefall after rapid inversion. Means are adjusted for wolbachia and chromosomal inversions. Higher values indicate lines that caught themselves earlier, which is interpreted as greater flight performance.",Spierer et al (2021) PLOS Genetics
lead.locomotor.activity.2016.f,166,Female,Adult,Activity,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate greater locomotor activity.",Zhou et al (2016) Environmental Health Perspectives
lead.locomotor.activity.2016.m,166,Male,Adult,Activity,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate greater locomotor activity.",Zhou et al (2016) Environmental Health Perspectives
locomotor.activity.2016.f,166,Female,Adult,Activity,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on control food medium. Higher values indicate greater locomotor activity.",Zhou et al (2016) Environmental Health Perspectives
locomotor.activity.2016.m,166,Male,Adult,Activity,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on control food medium. Higher values indicate greater locomotor activity.",Zhou et al (2016) Environmental Health Perspectives
locomotor.activity.m,204,Male,Adult,Activity,Mean total distance traveled by individual flies during a five minute interval. Higher values indicate more active lines.,Rohde et al (2018) G3
locomotor.frequency.f,98,Female,Adult,Activity,The proportion of flies engaging in a ‘walking bout’ at a given time point. Higher values indicate more active lines.,Maesani et al (2015) PLOS Computational Biology
negative.geotaxis.f,192,Female,Adult,Activity,Mean height climbed in 5 seconds (expressed as 26 5mm bins). Higher values indicate faster climbing and greater negative geotaxis.,Jordan et al (2012) PLOS One
negative.geotaxis.m,192,Male,Adult,Activity,Mean height climbed in 5 seconds (expressed as 26 5mm bins). Higher values indicate faster climbing and greater negative geotaxis.,Jordan et al (2012) PLOS One
negative.geotaxis.msb.f,192,Female,Adult,Activity,Mean height climbed in 5 seconds (expressed as 26 5mm bins). Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Higher values indicate faster climbing and greater negative geotaxis.,Jordan et al (2012) PLOS One
negative.geotaxis.msb.m,192,Male,Adult,Activity,Mean height climbed in 5 seconds (expressed as 26 5mm bins). Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Higher values indicate faster climbing and greater negative geotaxis.,Jordan et al (2012) PLOS One
night.sleep.SD.f,167,Female,Adult,Activity,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
night.sleep.SD.m,167,Male,Adult,Activity,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
night.sleep.bout.length.SD.f,167,Female,Adult,Activity,"The standard deviation for the length of a sleep bout during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
night.sleep.bout.length.SD.m,167,Male,Adult,Activity,"The standard deviation for the length of a sleep bout during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
night.sleep.bout.length.f,168,Female,Adult,Activity,The mean length of a sleep bout during the 12-hour dark period of the light cycle. Higher values indicate longer bouts.,"Harbison, McCoy and Mackay (2013) BMC Genomics"
night.sleep.bout.length.m,168,Male,Adult,Activity,The mean length of a sleep bout during the 12-hour dark period of the light cycle. Higher values indicate longer bouts.,"Harbison, McCoy and Mackay (2013) BMC Genomics"
night.sleep.bouts.SD.f,167,Female,Adult,Activity,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
night.sleep.bouts.SD.m,167,Male,Adult,Activity,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
night.sleep.bouts.f,168,Female,Adult,Activity,"Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Higher values indicate a higher frequency of sleep bouts.","Harbison, McCoy and Mackay (2013) BMC Genomics"
night.sleep.bouts.m,168,Male,Adult,Activity,"Mean number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Higher values indicate a higher frequency of sleep bouts.","Harbison, McCoy and Mackay (2013) BMC Genomics"
night.sleep.f,168,Female,Adult,Activity,The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Higher values indicate a higher line average for sleep duration.,"Harbison, McCoy and Mackay (2013) BMC Genomics"
night.sleep.m,168,Male,Adult,Activity,The sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Higher values indicate a higher line average for sleep duration.,"Harbison, McCoy and Mackay (2013) BMC Genomics"
phototaxis.dark.f,33,Female,Adult,Activity,"Mean phototaxis score measured in 7 day old adults, without a light source. This measure was taken to approximate the effect of fly activity on the phototaxis response. Higher values indicate more active flies.",Carbone et al (2017) PNAS
phototaxis.dark.m,35,Male,Adult,Activity,"Mean phototaxis score measured in 7 day old adults, without a light source. This measure was taken to approximate the effect of fly activity on the phototaxis response. Higher values indicate more active flies.",Carbone et al (2017) PNAS
phototaxis.mid.age.f,191,Female,Adult,Activity,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
phototaxis.mid.age.m,191,Male,Adult,Activity,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
phototaxis.old.f,185,Female,Adult,Activity,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
phototaxis.old.m,185,Male,Adult,Activity,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
phototaxis.young.f,191,Female,Adult,Activity,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
phototaxis.young.m,191,Male,Adult,Activity,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
sprinter.marathoner.f,135,Female,Adult,Activity,The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Note: this data is recoded from that recorded by Watanabe et al (2020).,Riddle (2020) Journal of Experimental Biology
sprinter.marathoner.m,135,Male,Adult,Activity,"The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Higher values indicate that a greater proportion of activity was completed in the first 30 minutes, which corresponds to a 'sprinter' phenotype. Note: this data is recoded from that recorded by Watanabe et al (2020).",Riddle (2020) Journal of Experimental Biology
startle.response.2012.f,192,Female,Adult,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Jordan et al (2012) PLOS One
startle.response.2012.m,192,Male,Adult,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Jordan et al (2012) PLOS One
startle.response.2012.msb.f,192,Female,Adult,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Jordan et al (2012) PLOS One
startle.response.2012.msb.m,192,Male,Adult,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Jordan et al (2012) PLOS One
startle.response.2018.f,38,Female,Adult,Activity,"Mean time in seconds that an adult fly, grown on standard food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.",Morozova (2018) G3
startle.response.2018.m,38,Male,Adult,Activity,"Mean time in seconds that an adult fly, grown on standard food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.",Morozova (2018) G3
startle.response.EtOH.f,38,Female,Adult,Activity,"Mean time in seconds that an adult fly, grown on 10% EtOH (ethanol) supplemented food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.",Morozova (2018) G3
startle.response.EtOH.m,38,Male,Adult,Activity,"Mean time in seconds that an adult fly, grown on 10% EtOH (ethanol) supplemented food, remained mobile across a 60 second period following mechanical disturbance. Higher values indicate a greater startle response.",Morozova (2018) G3
startle.response.f,204,Female,Adult,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,Mackay et al (2012) Nature
startle.response.m,204,Male,Adult,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,Mackay et al (2012) Nature
startle.response.variance.f,201,Female,Adult,Activity,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",Morgante et al (2015) Scientific Reports
startle.response.variance.m,201,Male,Adult,Activity,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",Morgante et al (2015) Scientific Reports
waking.activity.SD.f,167,Female,Adult,Activity,"Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
waking.activity.SD.m,167,Male,Adult,Activity,"Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al (2018) SLEEPJ
waking.activity.f,168,Female,Adult,Activity,"Mean number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Higher values indicate more active lines.","Harbison, McCoy and Mackay (2013) BMC Genomics"
waking.activity.m,168,Male,Adult,Activity,"Mean number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Higher values indicate more active lines.","Harbison, McCoy and Mackay (2013) BMC Genomics"
abdomen.curling.same.sex.m,50,Male,Adult,Behavioural,"Incidence of DGRP males abdomen curling in the presence of an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of abdomen curling.",Bailey and Hoskins (2014) Evolution
activity.same.sex.m,50,Male,Adult,Behavioural,"An overall measure of activity level obtained by summing the total number of tapping, orientating, following, licking, singing and abdomen curling for a male housed in a vial with a single additional male. Higher values indicate greater activity.",Bailey and Hoskins (2014) Evolution
aggression.2015.m,200,Male,Adult,Behavioural,Mean number of aggressive encounters between 8 males in an interaction vial over a two minute duration. Higher values indicate more aggressive males.,Shorter et al (2015) PNAS
aggression.2021.m,48,Male,Adult,Behavioural,"Mean number of aggressive lunges made in 20 min window following removal of a divider, by pairs of DGRP males of same genotype. Trials were run after males were kept isolated for five days. Higher values indicate more aggressive males.",Chowdhury et al Nature Communications Biology
approach.female.m,166,Male,Adult,Behavioural,"Mean number of times a DGRP male approached a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of approaches, and potentially more persistent courtship.",Gaertner et al (2015) G3
attempted.copulation.frequency.m,166,Male,Adult,Behavioural,"Mean number of attempted copulations by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of copulation attempts, and potentially more persistent courtship.",Gaertner et al (2015) G3
copulation.latency.m,33,Male,Adult,Behavioural,Mean time (mins) from a male flies introduction to a female until the onset of mating. Lower values indicate shorter copulation latencies and potentially more attractive males,Dean et al (2020) Evolution
following.same.sex.m,50,Male,Adult,Behavioural,"Incidence of DGRP males following an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of following.",Bailey and Hoskins (2014) Evolution
food.intake.control.exercise.m,4,Male,Adult,Behavioural,"Mean quantity of 10% sucrose, 5% yeast nutrient solution consumed by five virgin flies over an 8 hour period, measured in flies that exhibited normal movement (control) during the exercise period. Higher values indicate greater food consumption.",Mendez et al (2016) PLOS One
food.intake.f,183,Female,Adult,Behavioural,Mean quantity of 4% sucrose solution consumed per fly iover a 24 hour period. Higher values indicate greater food intake.,Garlapow et al (2015) PLOS One
food.intake.m,182,Male,Adult,Behavioural,Mean quantity of 4% sucrose solution consumed per fly over a 24 hour period. Higher values indicate greater food intake.,Garlapow et al (2015) PLOS One
food.intake.post.exercise.m,4,Male,Adult,Behavioural,"Mean quantity of 10% sucrose, 5% yeast nutrient solution consumed by five virgin flies over an 8 hour period, following a three-day exercise regime. Higher values indicate greater food consumption.",Mendez et al (2016) PLOS One
genital.licking.frequency.m,166,Male,Adult,Behavioural,"Mean number of genital licks by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of genital licking, and potentially more persistent courtship.",Gaertner et al (2015) G3
grooming.f,40,Female,Adult,Behavioural,Mean seconds spent grooming in a five minute interval. Higher values indicate more frequent grooming.,Hope et al (2019) Frontiers in Genetics
grooming.m,40,Male,Adult,Behavioural,Mean seconds spent grooming in a five minute interval. Higher values indicate more frequent grooming.,Hope et al (2019) Frontiers in Genetics
isolated.aggression.m,87,Male,Adult,Behavioural,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in isolation for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Rohde et al (2017) Genetics
licking.same.sex.m,50,Male,Adult,Behavioural,"Incidence of DGRP males licking an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of licking.",Bailey and Hoskins (2014) Evolution
mating.latency.2015.m,166,Male,Adult,Behavioural,"Mean latency until a DGRP male was observed copulating with a virgin female, detected by scan sampling 30 times over a 15 minute period. Lower values indicate males that began mating faster, which could be interpreted as males that are more attractive to females.",Gaertner et al (2015) G3
mating.latency.2019.f,41,Female,Adult,Behavioural,Mean time from the start of cohabitation until a male from the Canton S line successfully initiated copulation with a DGRP female (unclear whether these flies were virgin). Higher values indicate a longer mating latency.,Hope et al (2019) Frontiers in Genetics
mating.latency.2019.m,41,Male,Adult,Behavioural,Mean time from the start of cohabitation until a male from a DGRP line successfully initiated copulation with a Canton S female (unclear whether these flies were virgin). Higher values indicate a longer mating latency.,Hope et al (2019) Frontiers in Genetics
orient.towards.female.m,166,Male,Adult,Behavioural,"Mean number of times a DGRP male orientated towards a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of orientations, and potentially more persistent courtship.",Gaertner et al (2015) G3
orientating.same.sex.m,50,Male,Adult,Behavioural,"Incidence of DGRP males orientating towards an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of orientating.",Bailey and Hoskins (2014) Evolution
punishment.memory.learning.f,38,Female,Adult,Behavioural,"Mean aversion towards an odour flies were trained to associate with the onset of an electric shock. Higher values indicate that flies showed a greater aversion toward the odour, suggesting that they associated the odor with 'punishment'. Higher values also indicate a higher learning score",Appel et al (2016) Biology Letters
punishment.memory.learning.m,38,Male,Adult,Behavioural,"Mean aversion towards an odour flies were trained to associate with the onset of an electric shock. Higher values indicate that flies showed a greater aversion toward the odour, suggesting that they associated the odor with 'punishment'. Higher values also indicate a greater learning score.",Appel et al (2016) Biology Letters
relief.memory.learning.f,38,Female,Adult,Behavioural,"Mean preference for an odor flies were trained to associate with the end of an electric shock. Higher values indicate that flies showed a stronger preference towards the odor, suggesting that they associated the odor with 'relief'. Higher values also indicate a greater learning score.",Appel et al (2016) Biology Letters
relief.memory.learning.m,38,Male,Adult,Behavioural,"Mean preference for an odor flies were trained to associate with the end of an electric shock. Higher values indicate that flies showed a stronger preference towards the odor, suggesting that they associated the odor with 'relief'. Higher values also indicate a greater learning score.",Appel et al (2016) Biology Letters
remating.proportion.f,39,Female,Adult,Behavioural,"Mean proportion of females that remated with a second male (genotype bwD), ~ 1 day after first mating with a male (genotype cn bw).","Chow, Wolfner and Clark (2013) Genetics"
singing.same.sex.m,50,Male,Adult,Behavioural,"Incidence of courtship ‘song’ produced by a DGRP male when interacting with another male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of singing.",Bailey and Hoskins (2014) Evolution
social.aggression.m,87,Male,Adult,Behavioural,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in a mixed Sex environment for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Rohde et al (2017) Genetics
social.effect.aggression.m,87,Male,Adult,Behavioural,"Mean difference in aggressive behavior between male flies raised in social and socially isolated environments. Higher values indicate that males raised in a social environment were more aggressive than males experiencing isolation (the authors adjusted line means to meet normality expectations, we present udjusted means for the social and isolation line means).",Rohde et al (2017) Genetics
social.spacing.f,41,Female,Adult,Behavioural,"Mean nearest neighbour distances for a group of 25 flies, after one hour of acclimation in the environment. Higher values indicate greater spacing between individuals.",Hope et al (2019) Frontiers in Genetics
social.spacing.m,41,Male,Adult,Behavioural,"Mean nearest neighbour distances for a group of 25 flies, after one hour of acclimation in the environment. Higher values indicate greater spacing between individuals.",Hope et al (2019) Frontiers in Genetics
song.interpulse.interval.m,190,Male,Adult,Behavioural,"Median interpulse interval (IPI) in the male courtship 'song'. Males in many Drosophila species produce a series of auditory pulses (a pulse 'song') when courting females, and the pause between pulses (IPI) varies greatly among species. Higher values indicate a longer IPI.","Turner, Miller and Cochrane (2013) Molecular Biology and Evolution"
tapped.same.sex.m,50,Male,Adult,Behavioural,"Incidence of a male being tapped by an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of being tapped.",Bailey and Hoskins (2014) Evolution
