Trait,Female_Evid_Ratio,Male_Evid_Ratio,Overall_Evid_Ratio,Diff_Evid_Ratio,Concord_Evid_Ratio,Female_notable,Male_notable,Overall_notable,Diff_notable,Concord_notable,Trait_nice,Life_stage,Trait guild,study_ID,Reference,Trait description,Trait_Sex,position
phototaxis.old.f,9.243277848911651,7.676789587852495,24.93192868719611,1.1467865289145311,4.252861249938034,No,No,No,No,No,Phototaxis old (F),Adult,Activity,14,Carbone et al (2017) PNAS,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,Traits measured in females,53
phototaxis.old.m,1.9873039581777445,0.5758888998325618,1.1155626074309137,2.446047813913418,0.8366386803108259,No,No,No,No,No,Phototaxis old (M),Adult,Activity,14,Carbone et al (2017) PNAS,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,Traits measured in males,54
phototaxis.young.f,0.7226528854435831,9.652463382157125,3.5287291253891877,0.15790997249963815,0.7687027604365071,No,No,No,No,No,Phototaxis young (F),Adult,Activity,14,Carbone et al (2017) PNAS,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,Traits measured in females,55
phototaxis.young.m,0.5144344533838144,6.714561234329797,2.261977573904179,0.1595043119066599,0.6161577390155253,No,No,No,No,No,Phototaxis young (M),Adult,Activity,14,Carbone et al (2017) PNAS,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,Traits measured in males,56
sprinter.marathoner.f,0.013684744044602128,30.936127744510976,0.6182866390209366,0.003449357165255566,0.04598906666853193,Yes,No,No,Yes,No,Sprinter marathoner (F),Adult,Activity,89,Riddle (2020) Journal of Experimental Biology,The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Note: this data is recoded from that recorded by Watanabe et al (2020).,Traits measured in females,57
sprinter.marathoner.m,0.10665375570618343,31.921810699588477,1.8607187555873412,0.013748970411201926,0.13752082951715836,No,No,No,Yes,No,Sprinter marathoner (M),Adult,Activity,89,Riddle (2020) Journal of Experimental Biology,"The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Higher values indicate that a greater proportion of activity was completed in the first 30 minutes, which corresponds to a 'sprinter' phenotype. Note: this data is recoded from that recorded by Watanabe et al (2020).",Traits measured in males,58
startle.response.2012.f,4.897530409141172,63,74.47169811320755,0.24378109452736318,4.5589937352746395,No,Yes,Yes,No,No,Startle response  (F),Adult,Activity,58,Jordan et al (2012) PLOS One,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Traits measured in females,59
startle.response.2012.m,2.1834460803820135,14.122873345935728,11.317167051578137,0.31839156229400134,1.952404562830537,No,No,No,No,No,Startle response  (M),Adult,Activity,58,Jordan et al (2012) PLOS One,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Traits measured in males,60
startle.response.2012.msb.f,14.137180700094607,18.704433497536947,67.6695278969957,0.8682858477347034,8.082061821027189,No,No,Yes,No,No,Startle response  msb (F),Adult,Activity,58,Jordan et al (2012) PLOS One,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Traits measured in females,61
startle.response.2012.msb.m,4.6417489421720735,35.11738148984199,43.07713498622589,0.31937000082460626,4.12499133155763,No,No,Yes,No,No,Startle response  msb (M),Adult,Activity,58,Jordan et al (2012) PLOS One,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Prior to phenotyping flies were exposed to food medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration). MSB facilitates oxidative stress. Predictions are adjusted for block effects. Higher values indicate a greater startle response.,Traits measured in males,62
startle.response.f,1.5898348980252508,3.375170905113481,3.2083114150447134,0.6073940124573036,1.2821665762655314,No,No,No,No,No,Startle response (F),Adult,Activity,67,Mackay et al (2012) Nature,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,Traits measured in females,63
startle.response.m,0.6189416169179399,3.0526849037487334,1.519288301054952,0.3246129646493915,0.7869628661856871,No,No,No,No,No,Startle response (M),Adult,Activity,67,Mackay et al (2012) Nature,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,Traits measured in males,64
startle.response.variance.f,0.460653642505021,0.35157965872613617,0.269942058893563,1.203249793445332,1.4305698235489859,No,No,No,No,No,Startle response variance (F),Adult,Activity,74,Morgante et al (2015) Scientific Reports,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",Traits measured in females,65
startle.response.variance.m,0.7718715393133998,0.12946491599604687,0.20509151163666492,3.326663061114116,1.2203326266430892,No,No,No,No,No,Startle response variance (M),Adult,Activity,74,Morgante et al (2015) Scientific Reports,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",Traits measured in males,66
waking.activity.f,0.013171225937183385,0.41944641589779985,0.02295249664343712,0.1131983580324219,2.3242802102274807,Yes,No,Yes,No,No,Waking activity (F),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics","Mean number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Higher values indicate more active lines.",Traits measured in females,67
waking.activity.m,0.0656010656010656,2.028582244936589,0.2730744748567791,0.08540804558713791,0.5410592049061544,No,No,No,No,No,Waking activity (M),Adult,Activity,44,"Harbison, McCoy and Mackay (2013) BMC Genomics","Mean number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Higher values indicate more active lines.",Traits measured in males,68
waking.activity.SD.f,0.04112441436751692,0.05750165234633179,0.008763634070991741,0.7981568891885817,10.163283959058663,No,No,Yes,No,No,Waking activity SD (F),Adult,Activity,115,Wu et al (2018) SLEEPJ,"Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in females,69
waking.activity.SD.m,0.4723474740038649,1.0291693088142042,0.5933081059549891,0.5631105900742478,0.989749525510804,No,No,No,No,No,Waking activity SD (M),Adult,Activity,115,Wu et al (2018) SLEEPJ,"Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Traits measured in males,70
