Trait,Trait guild,Trait description,Reference,Life_stage
basal.activity.f,Activity,"Basal activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Higher values indicate higher basal activity levels.",Watanabe et al (2020) G3,Adult
basal.activity.m,Activity,"Basal activity levels, measured as the mean number of times a fly crossed a beam running down the midline of a vial, within a five minute interval. Higher values indicate higher basal activity levels.",Watanabe et al (2020) G3,Adult
betaine.high.yeast.f,Metabolome,Mean relative betaine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
betaine.low.yeast.f,Metabolome,Mean relative betaine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
biotin.high.yeast.f,Metabolome,Mean relative biotin concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
biotin.low.yeast.f,Metabolome,Mean relative biotin concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
cadaverine.high.yeast.f,Metabolome,Mean relative cadaverine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
cadaverine.low.yeast.f,Metabolome,Mean relative cadaverine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
Canton S(B).olfactory.response.benzaldehyde.f,Sensory,Mean proportion of flies that chose to move away from 1% (v/v) benzaldehyde. Flies were F1 hybrids from DGRP lines crossed to the Canton S(B) line; the coisogenic line to the neur and Sema-5C lines also used in this study. This phenotype measures how each DGRP genetic backdrop interacts with the Canton S(B) line (provides a control for the two mutation lines). Higher values indicate an aversion to benzaldehyde.,"He et al (2016) Genes, Brain and Behaviour",Adult
carnitine.high.yeast.f,Metabolome,Mean relative carnitine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
carnitine.low.yeast.f,Metabolome,Mean relative carnitine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
cGMP.high.yeast.f,Metabolome,Mean relative cGMP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
cGMP.low.yeast.f,Metabolome,Mean relative cGMP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
change.cocaine.preferenceA.f,Drug response,"Mean change in preferance for sucrose solution supplemented with 0.2 mg/ml cocaine, between day one and day three of exposure. Higher values indicate a more positive change in preference for cocaine supplemented solution.",Highfill et al (2019) PLOS Genetics,Adult
change.cocaine.preferenceA.m,Drug response,"Mean change in preferance for sucrose solution supplemented with 0.2 mg/ml cocaine, between day one and day three of exposure. Higher values indicate a more positive change in preference for cocaine supplemented solution.",Highfill et al (2019) PLOS Genetics,Adult
